degisken_adi,turkce_etiket,tip,kodlama_birim,zorunlu,grup,notlar
calisma_id,Çalışma numarası,metin,ÇLY-0001 formatı,Evet,Kimlik,Hasta adı/TCKN GİRİLMEZ
basvuru_yili,Başvuru yılı,tam sayı,2019-2024,Evet,Demografik,COVID alt analizi için
yas_ay,Başvuru yaşı (ay),tam sayı,ay,Evet,Demografik,Yıl değil AY olarak girin
cinsiyet,Cinsiyet,kategorik,0=Kız 1=Erkek,Evet,Demografik,
brans,Başvurulan branş,kategorik,1=Genel pediatri 2=Çocuk gastro 3=Çocuk endokrin 4=Diğer,Evet,Bağlamsal,
hekim_kideim,İstemi yapan hekim,kategorik,1=Asistan 2=Uzman 3=Öğretim üyesi,Hayır,Bağlamsal,Kılavuz uyumu alt analizi
sevkli,Dış merkezden sevkli mi,kategorik,0=Hayır 1=Evet,Hayır,Bağlamsal,
boy_cm,Boy,ondalık,cm,Evet,Antropometri,Başvuru anındaki ölçüm
kilo_kg,Ağırlık,ondalık,kg,Evet,Antropometri,
boy_sds,Boy SDS,ondalık,SDS,Evet,Antropometri,Neyzi referansı (birincil)
kilo_sds,Ağırlık SDS,ondalık,SDS,Evet,Antropometri,
vki_sds,VKİ SDS,ondalık,SDS,Evet,Antropometri,
boy_sds_who,Boy SDS (WHO 2007),ondalık,SDS,Hayır,Antropometri,Duyarlılık analizi için
hedef_boy_sds,Hedef boy SDS,ondalık,SDS,Hayır,Antropometri,(Anne boy + Baba boy ± 13)/2
hedef_boy_sapma,Hedef boydan sapma,ondalık,SDS,Hayır,Antropometri,boy_sds - hedef_boy_sds
delta_boy_sds,Son 1 yıl boy SDS değişimi,ondalık,SDS/yıl,Hayır,Antropometri,ÖNCELİKLİ ÖNGÖRÜCÜ - önceki ölçüm varsa mutlaka doldurun
delta_vki_sds,Son 1 yıl VKİ SDS değişimi,ondalık,SDS/yıl,Hayır,Antropometri,
buyume_hizi,Büyüme hızı,ondalık,cm/yıl,Hayır,Antropometri,
kemik_yasi,Kemik yaşı,ondalık,yıl,Hayır,Antropometri,Greulich-Pyle
kemik_yas_farki,Kemik yaşı - kronolojik yaş,ondalık,yıl,Hayır,Antropometri,
bgg_olcut,Hangi BGG ölçütünü karşılıyor,kategorik,1=Boy SDS<-2 2=Kilo SDS<-2 3=VKİ SDS<-2 4=Hedef boy sapması 5=Büyüme hızı düşük 6=Birden fazla,Evet,Antropometri,
gis_ishal,Kronik ishal (>=4 hafta),kategorik,0=Yok 1=Var 9=Kayıt yok,Evet,GİS semptom,
gis_kabizlik,Kabızlık,kategorik,0=Yok 1=Var 9=Kayıt yok,Evet,GİS semptom,
gis_karin_agrisi,Tekrarlayan karın ağrısı,kategorik,0=Yok 1=Var 9=Kayıt yok,Evet,GİS semptom,
gis_distansiyon,Karın şişkinliği/distansiyon,kategorik,0=Yok 1=Var 9=Kayıt yok,Evet,GİS semptom,
gis_kusma,Kusma,kategorik,0=Yok 1=Var 9=Kayıt yok,Hayır,GİS semptom,
gis_istahsizlik,İştahsızlık,kategorik,0=Yok 1=Var 9=Kayıt yok,Hayır,GİS semptom,
gis_herhangi,Herhangi bir GİS semptomu,kategorik,0=Yok 1=Var,Evet,GİS semptom,Türetilmiş değişken
hb,Hemoglobin,ondalık,g/dL,Evet,Laboratuvar,
mcv,MCV,ondalık,fL,Hayır,Laboratuvar,
ferritin,Ferritin,ondalık,ug/L,Evet,Laboratuvar,
demir_eksikligi,Demir eksikliği,kategorik,0=Yok 1=Var 9=Bakılmamış,Evet,Laboratuvar,Ferritin<12 (<5y) veya <15 ug/L
dea,Demir eksikliği anemisi,kategorik,0=Yok 1=Var 9=Bakılmamış,Evet,Laboratuvar,ÖNCELİKLİ ÖNGÖRÜCÜ - Hb düşük + ferritin düşük
alt,ALT,ondalık,U/L,Hayır,Laboratuvar,
ast,AST,ondalık,U/L,Hayır,Laboratuvar,
transaminaz_yuksek,Transaminaz yüksekliği,kategorik,0=Yok 1=Var 9=Bakılmamış,Evet,Laboratuvar,ALT veya AST > ULN
albumin,Albümin,ondalık,g/dL,Hayır,Laboratuvar,
vitd,25-OH D vitamini,ondalık,ng/mL,Hayır,Laboratuvar,
kalsiyum,Kalsiyum,ondalık,mg/dL,Hayır,Laboratuvar,
alp,ALP,ondalık,U/L,Hayır,Laboratuvar,
cinko,Çinko,ondalık,ug/dL,Hayır,Laboratuvar,
tsh,TSH,ondalık,mIU/L,Hayır,Laboratuvar,
anti_tpo,Anti-TPO,kategorik,0=Negatif 1=Pozitif 9=Bakılmamış,Hayır,Laboratuvar,
igf1_sds,IGF-1 SDS,ondalık,SDS,Hayır,Laboratuvar,Endokrin ayırıcı tanı
total_iga,Total IgA,ondalık,mg/dL,Evet,Çölyak testi,BOŞSA = G1 gereksizlik kategorisi
iga_eksikligi,Selektif IgA eksikliği,kategorik,0=Yok 1=Var 9=Bakılmamış,Evet,Çölyak testi,
t1dm,Tip 1 diyabet,kategorik,0=Yok 1=Var,Evet,Eşlik eden,
otoimmun_tiroidit,Otoimmün tiroidit/hipotiroidi,kategorik,0=Yok 1=Var,Evet,Eşlik eden,
sendrom,Sendrom,kategorik,0=Yok 1=Down 2=Turner 3=Williams 4=Diğer,Evet,Eşlik eden,
diger_otoimmun,Diğer otoimmün hastalık,kategorik,0=Yok 1=Var,Hayır,Eşlik eden,
aile_oykusu,1. derece akrabada çölyak,kategorik,0=Yok 1=Var 9=Kayıt yok,Evet,Eşlik eden,ÖNCELİKLİ ÖNGÖRÜCÜ
dis_mine_defekti,Diş minesi defekti,kategorik,0=Yok 1=Var 9=Kayıt yok,Hayır,Klinik bulgu,
aftoz_stomatit,Tekrarlayan aftöz stomatit,kategorik,0=Yok 1=Var 9=Kayıt yok,Hayır,Klinik bulgu,
puberte_gecikmesi,Puberte gecikmesi,kategorik,0=Yok 1=Var 8=Yaşa uygun değil 9=Kayıt yok,Hayır,Klinik bulgu,
dermatit_herpetiformis,Dermatit herpetiformis,kategorik,0=Yok 1=Var,Hayır,Klinik bulgu,
halsizlik,Kronik yorgunluk/halsizlik,kategorik,0=Yok 1=Var 9=Kayıt yok,Hayır,Klinik bulgu,
test_istendi,Çölyak serolojisi istendi mi,kategorik,0=Hayır 1=Evet,Evet,BİRİNCİL SONUÇ,Ana sonuç değişkeni
test_tarihi_gun,İstem - başvuru arası gün,tam sayı,gün,Hayır,Çölyak testi,
ttg_iga_deger,Anti-tTG IgA değeri,ondalık,U/mL,Hayır,Çölyak testi,
ttg_iga_uln,Kitin ULN değeri,ondalık,U/mL,Hayır,Çölyak testi,ULN katı hesabı için ZORUNLU
ttg_uln_kati,tTG / ULN oranı,ondalık,kat,Hayır,Çölyak testi,Türetilmiş
ttg_iga_sonuc,Anti-tTG IgA sonucu,kategorik,0=Negatif 1=Pozitif 9=İstenmedi,Evet,BİRİNCİL SONUÇ,
ttg_10uln,tTG >=10x ULN,kategorik,0=Hayır 1=Evet 9=Uygulanamaz,Hayır,Çölyak testi,
ttg_igg_sonuc,Anti-tTG IgG sonucu,kategorik,0=Negatif 1=Pozitif 9=İstenmedi,Hayır,Çölyak testi,IgA eksikliğinde
ema_sonuc,EMA sonucu,kategorik,0=Negatif 1=Pozitif 9=İstenmedi,Hayır,Çölyak testi,
dgp_sonuc,DGP sonucu,kategorik,0=Negatif 1=Pozitif 9=İstenmedi,Hayır,Çölyak testi,
aga_istendi,AGA (anti-gliadin) istendi mi,kategorik,0=Hayır 1=Evet,Evet,Çölyak testi,VARSA = G2 gereksizlik kategorisi
kit_markasi,tTG kit markası,metin,serbest,Hayır,Çölyak testi,Kit heterojenliği duyarlılık analizi
