Index,Tum (n=163),Siddet=1 (n=85),Siddet=2 (n=57),Siddet=3 (n=20)
WBC,10400.00 [7900.00-13300.00],10100.00 [7500.00-12500.00],10200.00 [8000.00-12600.00],12600.00 [9800.00-18725.00]
NEU,6980.00 [4600.00-9700.00],6090.00 [4130.00-8150.00],7070.00 [4700.00-9910.00],9270.00 [5820.00-15387.50]
LENF,2110.00 [1450.00-2840.00],2430.00 [1690.00-3490.00],1960.00 [1310.00-2440.00],1380.00 [792.50-1895.00]
MONO,770.00 [535.00-1000.00],750.00 [490.00-980.00],790.00 [560.00-990.00],835.00 [535.00-1180.00]
PLT,308000.00 [248000.00-378000.00],317000.00 [252000.00-380000.00],312000.00 [254000.00-396000.00],274500.00 [226500.00-321000.00]
HB,12.90 [11.90-13.90],12.50 [11.90-13.40],13.20 [11.90-14.10],13.20 [12.38-14.22]
NLR,3.12 [1.67-6.11],2.36 [1.33-3.86],3.93 [2.33-7.06],6.09 [3.84-10.24]
PLR,146.69 [107.85-205.49],130.45 [99.24-175.97],163.48 [130.00-267.29],170.10 [140.25-290.78]
LMR,2.73 [1.83-4.55],3.93 [2.15-5.31],2.20 [1.42-3.32],2.08 [0.97-2.94]
MLR,0.37 [0.22-0.55],0.25 [0.19-0.47],0.45 [0.30-0.71],0.49 [0.34-1.06]
NMR,8.63 [6.35-11.91],7.79 [5.99-10.50],8.96 [6.67-12.21],10.18 [8.58-15.72]
PNR,45.23 [30.42-72.09],51.38 [35.68-79.97],45.23 [30.95-66.71],28.33 [16.09-43.91]
dNLR,2.10 [1.21-3.39],1.65 [1.04-2.65],2.45 [1.31-3.73],3.21 [2.75-6.95]
HLR,0.01 [0.00-0.01],0.01 [0.00-0.01],0.01 [0.01-0.01],0.01 [0.01-0.02]
HNR,0.00 [0.00-0.00],0.00 [0.00-0.00],0.00 [0.00-0.00],0.00 [0.00-0.00]
NHR,541.84 [364.43-741.03],474.14 [336.03-657.46],576.67 [363.64-745.22],697.79 [387.55-1205.99]
MHR,59.39 [42.26-76.87],58.99 [39.52-78.30],59.39 [43.51-70.92],64.10 [37.12-80.93]
SII,972540.98 [471685.80-1895228.68],702760.56 [400123.46-1247283.82],1258398.77 [663239.26-2366590.91],1520831.93 [1022941.13-3711565.91]
SIRI,2562.54 [1028.63-4956.12],1775.11 [819.89-3421.05],2973.20 [1545.42-7127.53],4599.52 [2740.45-14278.32]
NLPR,0.00 [0.00-0.00],0.00 [0.00-0.00],0.00 [0.00-0.00],0.00 [0.00-0.00]
dSII,1105730.06 [558669.28-2041191.55],845009.43 [497398.10-1453389.61],1292033.33 [732649.25-2476923.08],1685424.75 [1173235.11-3951993.51]
dSIRI,2936.62 [1175.55-5681.98],2095.17 [1011.06-4012.83],3418.87 [1723.74-7557.61],5187.58 [3044.15-16797.95]
SIIH,75066.72 [36002.96-144775.18],58805.19 [32276.66-96828.92],99569.46 [51413.90-176490.78],117090.99 [73872.27-275008.48]
HSI,4.28 [2.12-7.43],5.53 [3.22-9.26],3.54 [2.03-5.80],1.86 [1.08-3.63]
