Index,KW_H,p,p_FDR
HLR,19.665373996143312,5.3668356311857435e-05,0.0006778239635246733
NLR,19.18647858669891,6.818818194806559e-05,0.0006778239635246733
NLPR,18.752128972470587,8.472799544058416e-05,0.0006778239635246733
SIRI,17.284858422973173,0.000176457728036317,0.0007157613810398068
SII,17.072975557436223,0.0001961780723663688,0.0007157613810398068
LMR,16.94861478909226,0.00020876373613661032,0.0007157613810398068
MLR,16.94861478909226,0.00020876373613661032,0.0007157613810398068
dNLR,15.522574766568198,0.0004259079208558087,0.0012777237625674262
HSI,15.128922594522464,0.0005185566404212953,0.0013828177077901207
LENF,14.400978606848652,0.0007462205907424938,0.001790929417781985
SIIH,13.798198856672286,0.0010086934208436331,0.002200785645477018
dSIRI,13.156006011392947,0.0013906235911768762,0.0026948352883083555
PLR,13.059045333772303,0.0014597024478336924,0.0026948352883083555
dSII,12.565259326323428,0.0018684806534213744,0.0032031096915794985
PNR,12.18933125481152,0.00225486397939453,0.003607782367031248
NEU,11.360173559780428,0.0034132622280214266,0.00511989334203214
NMR,6.813781022021739,0.03314410152672926,0.04679167274361778
NHR,6.3604449124870825,0.0415764051614435,0.05251756441445792
HNR,6.360444912486969,0.041576405161445854,0.05251756441445792
HB,5.528768664143355,0.06301488365053501,0.07561786038064201
WBC,4.708072813826552,0.0949849893305111,0.10855427352058411
PLT,2.408200276393108,0.2999618022707985,0.3272310570226893
MONO,1.6640574161678092,0.4351655663174431,0.45408580833124496
MHR,0.2075558155606501,0.90142547477603,0.90142547477603
