Index,p_1vs2,p_1vs3,p_2vs3
HLR,0.011000346336358512,0.0001724350419860924,0.15968672596662464
NLR,0.006028783477463535,0.00037097506526034135,0.3054036204852052
NLPR,0.026279644764677906,0.00016220592121971735,0.09852398130596735
SIRI,0.005619685174655845,0.0013352618938486857,0.5707802040209188
SII,0.00317721162104077,0.002630025696536019,0.9161560015034206
LMR,0.001578262569996046,0.0059643290997472755,1.0
MLR,0.001578262569996046,0.0059643290997472755,1.0
dNLR,0.0610921779102996,0.000641982649603476,0.1326519238248582
HSI,0.01415730088898531,0.002423619686011983,0.5385347322852042
LENF,0.023236859870128468,0.002563063823748454,0.4542442447666055
SIIH,0.007421166047618331,0.010962548260365591,1.0
dSIRI,0.04907123722464721,0.003151190030038227,0.36209009913465595
PLR,0.004857688827460405,0.030552251161530722,1.0
dSII,0.04212948409652716,0.005148788158793678,0.5024617476257508
PNR,0.36014550560895,0.001783615538355291,0.07148955942531858
NEU,0.12716688568716003,0.004946161044007323,0.28327893073505495
NMR,0.3284119799209739,0.046026059443626116,0.618868037154596
NHR,0.35992505588411455,0.058135168680578914,0.6769185625829558
HNR,0.35992505588411455,0.058135168680578914,0.6769185625829558
