Index,n_severe,n_nonsevere,median_severe,median_nonsevere,U,p,p_FDR
NLPR,20,142,1.8419799970707008e-05,8.491329392598454e-06,2097.0,0.000572464802340347,0.009188776761524596
HLR,20,142,0.009826923076923077,0.0059383618312189735,2078.0,0.0008151352615840075,0.009188776761524596
dNLR,20,142,3.2140031978456616,1.9112274953378532,2045.5,0.0014619597166191784,0.009188776761524596
PNR,20,142,28.32745966568593,47.852145408288074,806.0,0.0017866710266495626,0.009188776761524596
NLR,20,142,6.090755122273629,2.78613325312077,2030.0,0.0019143284919842908,0.009188776761524596
SIRI,20,142,4599.52205882353,2135.1318528799447,1962.0,0.005833509258755324,0.018180351948236865
dSIRI,20,142,5187.580138797091,2423.320610687023,1954.0,0.006602312674508593,0.018180351948236865
LENF,20,142,1380.0,2160.0,889.0,0.006911392467456836,0.018180351948236865
NEU,20,142,9270.0,6620.0,1948.5,0.007182014624833054,0.018180351948236865
HSI,20,142,1.8636557576894224,4.786173913043478,895.0,0.007575146645098694,0.018180351948236865
dSII,20,142,1685424.7517188694,1056155.5313077052,1922.0,0.010669539629660768,0.023278995555623495
SII,20,142,1520831.932773109,903690.2173913043,1915.0,0.011812394930325671,0.023624789860651342
LMR,20,142,2.075445914844649,2.8777173913043477,984.0,0.026601805584597866,0.045603095287882055
MLR,20,142,0.48538316625176614,0.3474979491386382,1856.0,0.026601805584597866,0.045603095287882055
SIIH,20,142,117090.99264705883,71043.69312628644,1843.0,0.03146683639989986,0.05034693823983978
WBC,20,142,12600.0,10200.0,1837.0,0.033939964512236506,0.05090994676835476
NMR,20,142,10.17705128205128,8.301680672268908,1825.0,0.03944863713841407,0.0556921936071728
HNR,20,142,0.0014341531297669067,0.0019292978380730174,1030.0,0.04735600652221595,0.05981811350174646
NHR,20,142,697.7864583333333,518.4752136752137,1810.0,0.04735600652221595,0.05981811350174646
PLR,20,142,170.09894348482308,144.25652274301547,1767.0,0.07770304937525019,0.09324365925030022
PLT,20,142,274500.0,312500.0,1138.0,0.15177463195124136,0.17345672222999012
HB,20,142,13.2,12.8,1648.0,0.24657070473533904,0.2689862233476426
MONO,20,142,835.0,765.0,1610.0,0.33457499147813097,0.3491217302380497
MHR,20,142,64.1004106009705,59.193372574667535,1461.0,0.8366327449230906,0.8366327449230906
